Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850,-0.43579108,-0.6356799,-0.23590226
1851,-0.21924901,-0.42839807,-0.010099963
1852,-0.23570205,-0.45768887,-0.013715232
1853,-0.24539217,-0.46319896,-0.0275854
1854,-0.17490809,-0.37110046,0.02128428
1855,-0.24564321,-0.45017496,-0.041111458
1856,-0.33354086,-0.53796923,-0.12911248
1857,-0.45139664,-0.65434325,-0.24845001
1858,-0.3586044,-0.5620843,-0.15512446
1859,-0.24764407,-0.44093075,-0.054357383
1860,-0.45903206,-0.65653825,-0.26152587
1861,-0.40554163,-0.65066427,-0.16041897
1862,-0.7015686,-0.9476844,-0.45545283
1863,-0.30135897,-0.5742071,-0.028510837
1864,-0.46164352,-0.7181969,-0.20509012
1865,-0.367516,-0.6554138,-0.079618216
1866,-0.37373003,-0.6296427,-0.11781737
1867,-0.40509325,-0.69225955,-0.117926925
1868,-0.3587121,-0.6162636,-0.101160586
1869,-0.24876358,-0.47388127,-0.023645878
1870,-0.3120681,-0.51427823,-0.109857984
1871,-0.44095552,-0.66278726,-0.21912381
1872,-0.3570225,-0.5597911,-0.15425391
1873,-0.3755952,-0.57096463,-0.1802258
1874,-0.29373273,-0.4933909,-0.09407458
1875,-0.48372233,-0.6799981,-0.28744656
1876,-0.43496627,-0.6174643,-0.2524682
1877,-0.10136229,-0.27949244,0.07676787
1878,0.07121073,-0.09910355,0.241525
1879,-0.33624864,-0.51425415,-0.15824309
1880,-0.38399777,-0.5646961,-0.2032995
1881,-0.28404993,-0.45302534,-0.1150745
1882,-0.37297913,-0.54639304,-0.19956523
1883,-0.42706347,-0.586372,-0.2677549
1884,-0.63446146,-0.7822249,-0.48669806
1885,-0.50963664,-0.65414095,-0.3651323
1886,-0.4454663,-0.5879795,-0.30295312
1887,-0.49421906,-0.6482418,-0.3401963
1888,-0.37244922,-0.5319856,-0.21291286
1889,-0.26046592,-0.41859558,-0.10233628
1890,-0.5236722,-0.68989366,-0.35745075
1891,-0.41190198,-0.5833961,-0.24040791
1892,-0.57606024,-0.7423985,-0.409722
1893,-0.5567236,-0.72497547,-0.3884717
1894,-0.44259676,-0.6071508,-0.27804273
1895,-0.44512075,-0.6083137,-0.28192785
1896,-0.29344037,-0.45053694,-0.13634379
1897,-0.25156042,-0.41372293,-0.08939792
1898,-0.430447,-0.5830083,-0.27788576
1899,-0.33304518,-0.48560596,-0.1804844
1900,-0.19789775,-0.34493777,-0.050857726
1901,-0.21493746,-0.37298056,-0.056894362
1902,-0.459913,-0.6173293,-0.3024967
1903,-0.50512433,-0.6529691,-0.3572796
1904,-0.5783536,-0.7316279,-0.42507932
1905,-0.40339717,-0.54213005,-0.26466432
1906,-0.26034278,-0.4178278,-0.102857746
1907,-0.53668755,-0.67487854,-0.3984966
1908,-0.47782668,-0.6215604,-0.33409297
1909,-0.49372384,-0.62816876,-0.35927886
1910,-0.49141455,-0.6347914,-0.34803772
1911,-0.4531457,-0.5883579,-0.3179335
1912,-0.5302812,-0.6617522,-0.3988102
1913,-0.4946916,-0.63103354,-0.35834965
