Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1850,-0.39952648,-0.6344203,-0.16463266
1851,-0.24745059,-0.49331915,-0.0015820131
1852,-0.2230961,-0.4598785,0.013686325
1853,-0.2953167,-0.49367258,-0.09696084
1854,-0.408352,-0.58073765,-0.2359663
1855,-0.3482592,-0.51792413,-0.17859428
1856,-0.30716658,-0.47735003,-0.13698311
1857,-0.48306343,-0.64887464,-0.31725222
1858,-0.41892695,-0.58966243,-0.2481915
1859,-0.31474683,-0.4819802,-0.14751346
1860,-0.32129827,-0.49412847,-0.14846809
1861,-0.4530126,-0.637593,-0.26843223
1862,-0.37122685,-0.5589497,-0.183504
1863,-0.38732743,-0.58728945,-0.18736538
1864,-0.4692299,-0.6709279,-0.2675319
1865,-0.2976597,-0.4980205,-0.09729888
1866,-0.30879125,-0.5188566,-0.098725945
1867,-0.30883342,-0.51633704,-0.101329826
1868,-0.3452093,-0.5383908,-0.15202782
1869,-0.3843773,-0.559281,-0.20947365
1870,-0.3437136,-0.4968375,-0.19058974
1871,-0.29620588,-0.44415456,-0.14825721
1872,-0.29906142,-0.45116082,-0.14696205
1873,-0.30706945,-0.45085666,-0.16328229
1874,-0.45276964,-0.59633994,-0.30919933
1875,-0.26752955,-0.4153169,-0.11974219
1876,-0.41325358,-0.5702003,-0.25630686
1877,-0.10085537,-0.25542015,0.053709403
1878,-0.09384111,-0.2429432,0.055260982
1879,-0.27102003,-0.41232103,-0.129719
1880,-0.24766637,-0.388216,-0.107116766
1881,-0.18044113,-0.33071133,-0.030170908
1882,-0.21808103,-0.35424137,-0.0819207
1883,-0.26588535,-0.39692387,-0.13484684
1884,-0.3501787,-0.4808425,-0.21951486
1885,-0.43261054,-0.5700281,-0.29519293
1886,-0.3963409,-0.5275587,-0.2651231
1887,-0.50335246,-0.6451567,-0.36154824
1888,-0.38630855,-0.5113999,-0.26121715
1889,-0.23932517,-0.38070983,-0.09794051
1890,-0.49004412,-0.63050044,-0.3495878
1891,-0.39072788,-0.54433453,-0.23712125
1892,-0.4390568,-0.59997225,-0.2781414
1893,-0.43251488,-0.59749687,-0.26753289
